YEILD_STRENGTH,ULTIMATE_TENSILE_STRENGTH,GRADE,FXTEMP_MAX,FXTEMP_MIN,FXTEMP_PCTON,FXTEMP_PCTUNDER,CTEMP_MAX,CTEMP_PCTON,AL,CE,MN,V
426,539,HHTA1B          ,866.625,800,98.225,0.592,639.095,93.861,0.045,0.397,1.33,0.043
460,544,HHTA1B          ,853.5,806.625,98.969,1.031,634.609,97.951,0.045,0.397,1.33,0.043
430,560,HHTA1B          ,866.5,832.5,98.101,0.633,633.518,99.582,0.045,0.406,1.37,0.043
479,563,HHTA1B          ,868.125,838.125,99.062,0,645.005,96.276,0.045,0.384,1.32,0.047
404,532,HHTA1B          ,868.75,843.75,96.317,0,632.522,99.437,0.038,0.388,1.32,0.045
425,545,HHTA1B          ,867,847,99.015,0,636.664,94.853,0.045,0.402,1.38,0.047
466,564,HHTA1B          ,881.875,845.625,78.512,0,653.144,90.535,0.045,0.384,1.32,0.047
436,521,HHTA1B          ,866.375,792.25,98.969,0.825,651.387,92.434,0.045,0.397,1.33,0.043
409,511,HHTA1B          ,862.625,843.25,100,0,639.962,98.368,0.04,0.391,1.32,0.044
431,526,HHTA1B          ,864.375,809.125,99.544,0.456,649.58,91.8,0.045,0.394,1.39,0.042
406,529,HHTA1B          ,862,833,96.774,3.226,682.529,95.392,0.038,0.389,1.33,0.042
400,531,HHTA1B          ,860.125,839,100,0,686.523,93.519,0.038,0.389,1.33,0.042
422,544,HHTA1B          ,870,839.25,82.593,0,672.121,71.956,0.045,0.389,1.34,0.045
343,497,HHTA1B          ,885.375,838.5,85.926,0,670.707,93.727,0.038,0.389,1.33,0.042
392,519,HHTA1B          ,861.25,841,82.629,0,685.421,86.855,0.041,0.39,1.33,0.046
401,518,HHTA1B          ,861.5,826.5,86.347,13.653,676.859,96.703,0.045,0.389,1.34,0.045
386,517,HHTA1B          ,865.875,796.5,98.413,0.454,633.036,91.422,0.045,0.394,1.39,0.042
415,558,HHTA1B          ,866.75,843.125,98.893,0,674.39,91.941,0.039,0.39,1.36,0.043
378,499,HHTA1B          ,855.875,828.625,90.476,9.524,668.596,88.492,0.042,0.398,1.4,0.043
433,553,HHTA1B          ,855.75,830.5,98.496,0,673.138,82.09,0.041,0.39,1.33,0.046
419,541,HHTA1B          ,873.25,842.375,91.667,0,684.107,64.815,0.045,0.389,1.34,0.045
392,509,HHTA1B          ,879.125,839.25,95.469,0,631.753,81.29,0.037,0.395,1.36,0.043
430,560,HHTA1B          ,875.25,822.875,93.058,0.188,638.655,89.513,0.045,0.406,1.37,0.043
454,565,HHTA1B          ,863,832,95.473,4.527,666.767,84.426,0.045,0.384,1.32,0.047
394,539,HHTA1B          ,861.875,828.5,99.766,0.234,635.237,97.216,0.043,0.396,1.35,0.043
354,472,HDR09C          ,872.5,842.5,97.665,0,623.337,92.178,0.041,0.35,1.05,0.001
348,475,HDR09C          ,854.5,821.625,57.839,42.161,631.936,99.367,0.041,0.35,1.05,0.001
424,549,HHTA1B          ,859.875,835.125,100,0,669.968,97.156,0.045,0.401,1.37,0.046
430,550,HHTA1B          ,863.5,843.375,100,0,681.975,82.489,0.038,0.389,1.33,0.042
413,590,HHTA1B          ,860.875,828.25,99.766,0.234,637.949,99.07,0.043,0.396,1.35,0.043
443,563,HHTA1B          ,871.375,832.125,73.485,0.253,634.914,91.709,0.045,0.406,1.37,0.043
443,549,HHTA1B          ,859.125,822.625,99.383,0.617,631.927,87.5,0.045,0.388,1.35,0.046
378,521,HHTA1B          ,881.75,837.125,81.852,0,648.54,49.447,0.038,0.389,1.33,0.042
397,545,HHTA1B          ,867.125,837,99.626,0,677.777,94.403,0.041,0.39,1.33,0.046
394,559,HHTA1B          ,859.75,830.625,94.961,5.039,677.513,89.231,0.044,0.392,1.33,0.046
424,550,HHTA1B          ,856.875,825.875,99.225,0,666.545,92.664,0.044,0.392,1.33,0.046
400,539,HHTA1B          ,876.5,834.25,92.62,1.107,669.12,96.691,0.038,0.396,1.33,0.042
485,573,HHTA1B          ,869.125,820.125,97.953,0.146,632.609,99.853,0.044,0.394,1.37,0.045
412,533,HHTA1B          ,862.625,838.25,100,0,676.849,88.806,0.045,0.396,1.32,0.041
409,534,HHTA1B          ,863.625,838,100,0,636.633,99.106,0.045,0.387,1.31,0.041
409,534,HHTA1B          ,864.875,822.625,99.682,0.318,639.461,95.714,0.04,0.398,1.35,0.044
450,563,HHTA1B          ,878.125,830,92.533,0.133,630.269,91.867,0.036,0.402,1.37,0.048
450,563,HHTA1B          ,878.125,830,92.533,0.133,630.269,91.867,0.036,0.402,1.37,0.048
433,546,HHTA1B          ,859.75,808.25,56.422,43.578,639.649,90.644,0.036,0.406,1.4,0.049
370,495,HDR09C          ,862.75,832.875,98.239,0,649.248,97.287,0.036,0.332,0.97,0.002
349,484,HDR09C          ,867.125,827.875,95.203,0.738,671.047,84.191,0.037,0.33,1,0.001
352,485,HDR09C          ,865.375,832.5,98.148,0,681.048,82.288,0.045,0.327,0.97,0.001
340,467,HDR09C          ,854.75,825.25,95.781,4.219,679.444,84.454,0.042,0.338,0.98,0.001
417,533,HHTA1B          ,875.875,841.625,86.076,0,680.714,94.025,0.045,0.393,1.35,0.043
397,529,HHTA1B          ,862.125,821.625,51.5,48.5,651.083,83.292,0.041,0.398,1.35,0.043
394,520,HHTA1B          ,871,827.75,95.844,0.779,638.907,97.165,0.041,0.393,1.33,0.042
337,480,HDR09C          ,863.25,833.875,98.039,0,678.432,92.188,0.036,0.332,0.97,0.002
385,509,HHTA1B          ,869,840.75,97.88,0,659.007,80.986,0.042,0.401,1.4,0.048
341,488,HDR09C          ,869.625,822.875,84.592,6.949,679.334,93.393,0.034,0.341,1.05,0.001
368,501,HHTA1B          ,873,829.625,82.558,0.775,674.545,81.467,0.037,0.395,1.36,0.043
406,530,HHTA1B          ,867.25,838.125,97.857,0,648.072,95.725,0.043,0.398,1.33,0.043
407,523,HHTA1B          ,869.375,836.75,95.487,0,629.428,93.868,0.043,0.398,1.33,0.043
